params,total_pnl,win_rate,avg_trade,max_win,max_loss,max_drawdown,std_dev,sharpe_ratio,trade_count,profit_factor
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 2.0}",11414.12096018064,0.988,45.656483840722515,986.0774747297143,-344.72586963519836,634.1022499281589,139.4327194379292,0.3274445483439578,250,13.54587429743379
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 1.5}",15159.952826087265,0.988,60.63981130434904,1400.459453307038,-275.7771272159024,275.7771272159025,185.46654905031227,0.32695821222132637,250,23.763843122574414
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 1.5}",13135.558505544383,0.988,52.54223402217755,1281.3429804748891,-320.6730742163912,551.9725927465352,161.8415632079475,0.3246522894410438,250,19.000103347675815
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 2.5}",15893.630713310924,0.984,63.57452285324368,1468.106265920485,-305.3484834302525,561.8168049571838,195.9360923242588,0.32446560559160714,250,19.985517991507894
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.25, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.0}",13702.442915625163,0.992,54.809771662500665,1142.6732136004914,-275.9415419692205,275.94154196922136,169.00027783175975,0.3243176423476886,250,43.861659209906456
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 1.5}",14997.632668396596,0.984,59.990530673586406,1358.648899852688,-375.1649018595956,375.1649018595963,185.15826240334192,0.32399596915046247,250,21.8963566479591
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.25, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 1.5}",16917.11163296629,0.984,67.66844653186516,1354.0415697410915,-353.94019913676834,813.8609039662276,209.10831021639643,0.323604769517951,250,16.53149626533865
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 1.5}",12397.879164882996,0.984,49.59151665953195,1045.7541675229047,-375.1935008832615,607.5591179854667,153.31674981641615,0.32345791780032906,250,13.615462860993965
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 2.0}",17189.362750629098,0.984,68.7574510025164,1426.3294124131512,-475.52050507607106,475.52050507607055,212.64655205774557,0.32334148067373725,250,22.0100077860423
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.15, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.0}",15555.259814471827,0.988,62.221039257887284,1318.4482894105013,-475.20938750824547,535.2630454075712,192.94266334709485,0.3224846085282576,250,14.133890262924496
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.25, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 1.5}",14729.073352869145,0.992,58.9162934114766,1434.1983153628466,-303.10570993238014,303.10570993238014,182.77129526601857,0.32234981606781066,250,26.42909402539403
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.5}",15558.082672557164,0.992,62.23233069022863,1474.3517620391901,-290.1228684766767,290.1228684766767,193.3025324774514,0.3219426558598656,250,28.513828088440626
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.2, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.5}",13286.85606607009,0.984,53.147424264280396,1125.4611309498102,-375.3514570846177,465.70420644026717,165.1705807513251,0.3217729454151236,250,16.797831989365065
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.15, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 1.5}",10892.397617898267,0.984,43.56959047159308,981.0378421531362,-350.7525234074118,735.4461502803867,135.44987693510868,0.32166578115435573,250,11.768245505457315
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.5}",12315.446954007288,0.988,49.26178781602919,1067.905448083643,-475.8836495494849,667.5402824386201,153.53322537720504,0.32085424959321573,250,11.770674471185899
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 3.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.0}",10394.657682175406,0.988,41.57863072870164,1001.8744116712897,-375.3756092222633,375.37560922226294,129.60617300935587,0.32080748750833193,250,17.677862954211488
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.15, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.5}",10197.467637733414,0.988,40.7898705509337,1088.482910937494,-276.2398680012112,276.239868001212,127.18989982395718,0.3207005478217274,250,19.48633231991484
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.2, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.0}",16050.15917832872,0.984,64.2006367133149,1204.9775141691732,-376.0856103768849,693.8668413065009,200.29081674959878,0.3205370957849645,250,16.000815366212347
